Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers Hauts-de-France,Flux physiques de Bourgogne-Franche-Comté vers Hauts-de-France,Flux physiques de Bretagne vers Hauts-de-France,Flux physiques de Centre-Val de Loire vers Hauts-de-France,Flux physiques de Grand-Est vers Hauts-de-France,Flux physiques de Hauts-de-France vers Hauts-de-France,Flux physiques d'Ile-de-France vers Hauts-de-France,Flux physiques de Normandie vers Hauts-de-France,Flux physiques de Nouvelle-Aquitaine vers Hauts-de-France,Flux physiques d'Occitanie vers Hauts-de-France,Flux physiques de Pays-de-la-Loire vers Hauts-de-France,Flux physiques de PACA vers Hauts-de-France,Flux physiques de Hauts-de-France vers Auvergne-Rhône-Alpes,Flux physiques de Hauts-de-France vers Bourgogne-Franche-Comté,Flux physiques de Hauts-de-France vers Bretagne,Flux physiques de Hauts-de-France vers Centre-Val de Loire,Flux physiques de Hauts-de-France vers Grand-Est,Flux physiques de Hauts-de-France vers Hauts-de-France.1,Flux physiques de Hauts-de-France vers Ile-de-France,Flux physiques de Hauts-de-France vers Normandie,Flux physiques de Hauts-de-France vers Nouvelle-Aquitaine,Flux physiques de Hauts-de-France vers Occitanie,Flux physiques de Hauts-de-France vers Pays-de-la-Loire,Flux physiques de Hauts-de-France vers PACA,Flux physiques Allemagne vers Hauts-de-France,Flux physiques Belgique vers Hauts-de-France,Flux physiques Espagne vers Hauts-de-France,Flux physiques Italie vers Hauts-de-France,Flux physiques Luxembourg vers Hauts-de-France,Flux physiques Royaume-Uni vers Hauts-de-France,Flux physiques Suisse vers Hauts-de-France,Flux physiques de Hauts-de-France vers Allemagne,Flux physiques de Hauts-de-France vers Belgique,Flux physiques de Hauts-de-France vers Espagne,Flux physiques de Hauts-de-France vers Italie,Flux physiques de Hauts-de-France vers Luxembourg,Flux physiques de Hauts-de-France vers Royaume-Uni,Flux physiques de Hauts-de-France vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
Hauts-de-France,Données définitives,2022-01-01,00:00,5243.0,454.0,2640.0,1134.0,0.0,2.0,0.0,122.0,0.0,0.0,0.0,0.0,895.0,-,-,-,-,385,-,18,3389,-,-,-,-,-,-,-,-,147.0,-,4129.0,78.0,-,-,-,-,-,849,-,-,-,621,-,-,10.0,-,-,-,0.0,-,8.66,18.52,50.35,48.35,21.63,21.6,0.0,0.0,0.04,50.0,2.33,63.54,
Hauts-de-France,Données définitives,2022-01-01,00:15,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2022-01-01,00:30,5144.0,463.0,2410.0,1181.0,0.0,3.0,0.0,130.0,0.0,0.0,0.0,0.0,965.0,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,-,148.0,-,4192.0,169.0,-,-,-,-,-,ND,-,-,-,-,-,-,10.0,-,-,-,0.0,-,9.0,18.89,46.85,44.14,22.96,22.5,0.0,0.0,0.06,75.0,2.53,67.71,
Hauts-de-France,Données définitives,2022-01-01,00:45,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2022-01-01,01:00,5014.0,465.0,2354.0,1248.0,0.0,2.0,0.0,130.0,0.0,0.0,0.0,0.0,813.0,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,-,155.0,-,4174.0,163.0,-,-,-,-,-,ND,-,-,-,-,-,-,14.0,-,-,-,0.0,-,9.27,18.97,46.95,43.11,24.89,23.78,0.0,0.0,0.04,50.0,2.59,67.71,
Hauts-de-France,Données définitives,2022-01-01,01:15,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2022-01-01,01:30,5070.0,464.0,2390.0,1225.0,0.0,2.0,0.0,132.0,0.0,0.0,0.0,0.0,855.0,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,-,159.0,-,3892.0,165.0,-,-,-,-,-,ND,-,-,-,-,-,-,10.0,-,-,-,0.0,-,9.15,18.93,47.14,43.77,24.16,23.34,0.0,0.0,0.04,50.0,2.6,68.75,
Hauts-de-France,Données définitives,2022-01-01,01:45,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2022-01-01,02:00,4952.0,455.0,2366.0,1133.0,0.0,2.0,0.0,130.0,0.0,0.0,0.0,0.0,871.0,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,-,153.0,-,3887.0,146.0,-,-,-,-,-,ND,-,-,-,-,-,-,13.0,-,-,-,0.0,-,9.19,18.56,47.78,43.33,22.88,21.59,0.0,0.0,0.04,50.0,2.63,67.71,
Hauts-de-France,Données définitives,2022-01-01,02:15,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2022-01-01,02:30,4805.0,462.0,2369.0,1038.0,0.0,2.0,0.0,128.0,0.0,0.0,0.0,0.0,809.0,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,-,155.0,-,4052.0,141.0,-,-,-,-,-,ND,-,-,-,-,-,-,13.0,-,-,-,0.0,-,9.61,18.85,49.3,43.39,21.6,19.78,0.0,0.0,0.04,50.0,2.66,66.67,
Hauts-de-France,Données définitives,2022-01-01,02:45,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2022-01-01,03:00,4627.0,458.0,2318.0,1031.0,0.0,2.0,0.0,125.0,0.0,0.0,0.0,0.0,700.0,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,-,163.0,-,4151.0,123.0,-,-,-,-,-,ND,-,-,-,-,-,-,13.0,-,-,-,0.0,-,9.9,18.69,50.1,42.45,22.28,19.64,0.0,0.0,0.04,50.0,2.7,65.1,
Hauts-de-France,Données définitives,2022-01-01,03:15,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2022-01-01,03:30,4516.0,463.0,2338.0,1042.0,0.0,2.0,0.0,124.0,0.0,0.0,0.0,0.0,545.0,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,-,411.0,-,4556.0,121.0,-,-,-,-,-,ND,-,-,-,-,-,-,13.0,-,-,-,0.0,-,10.25,18.89,51.77,42.82,23.07,19.85,0.0,0.0,0.04,50.0,2.75,64.58,
Hauts-de-France,Données définitives,2022-01-01,03:45,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2022-01-01,04:00,4378.0,462.0,2335.0,1067.0,0.0,2.0,0.0,126.0,0.0,0.0,0.0,0.0,386.0,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,-,453.0,-,4194.0,121.0,-,-,-,-,-,ND,-,-,-,-,-,-,13.0,-,-,-,0.0,-,10.55,18.85,53.33,42.77,24.37,20.33,0.0,0.0,0.05,50.0,2.88,65.63,
Hauts-de-France,Données définitives,2022-01-01,04:15,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2022-01-01,04:30,4278.0,468.0,2338.0,1119.0,0.0,2.0,0.0,123.0,0.0,0.0,0.0,0.0,229.0,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,-,648.0,-,4304.0,135.0,-,-,-,-,-,ND,-,-,-,-,-,-,12.0,-,-,-,0.0,-,10.94,19.09,54.65,42.82,26.16,21.32,0.0,0.0,0.05,50.0,2.88,64.06,
Hauts-de-France,Données définitives,2022-01-01,04:45,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2022-01-01,05:00,4222.0,464.0,2337.0,1238.0,0.0,2.0,0.0,127.0,0.0,0.0,0.0,0.0,55.0,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,-,698.0,-,4384.0,136.0,-,-,-,-,-,ND,-,-,-,-,-,-,12.0,-,-,-,0.0,-,10.99,18.93,55.35,42.8,29.32,23.59,0.0,0.0,0.05,50.0,3.01,66.15,
Hauts-de-France,Données définitives,2022-01-01,05:15,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2022-01-01,05:30,4252.0,463.0,2366.0,1270.0,0.0,2.0,0.0,122.0,0.0,0.0,0.0,0.0,29.0,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,-,701.0,-,4468.0,123.0,-,-,-,-,-,ND,-,-,-,-,-,-,9.0,-,-,-,0.0,-,10.89,18.89,55.64,43.33,29.87,24.2,0.0,0.0,0.05,50.0,2.87,63.54,
Hauts-de-France,Données définitives,2022-01-01,05:45,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2022-01-01,06:00,4248.0,460.0,2337.0,1269.0,0.0,2.0,0.0,123.0,0.0,0.0,0.0,0.0,60.0,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,-,729.0,-,4461.0,121.0,-,-,-,-,-,ND,-,-,-,-,-,-,8.0,-,-,-,0.0,-,10.83,18.77,55.01,42.8,29.87,24.18,0.0,0.0,0.05,50.0,2.9,64.06,
