Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers PACA,Flux physiques de Bourgogne-Franche-Comté vers PACA,Flux physiques de Bretagne vers PACA,Flux physiques de Centre-Val de Loire vers PACA,Flux physiques de Grand-Est vers PACA,Flux physiques de Hauts-de-France vers PACA,Flux physiques d'Ile-de-France vers PACA,Flux physiques de Normandie vers PACA,Flux physiques de Nouvelle-Aquitaine vers PACA,Flux physiques d'Occitanie vers PACA,Flux physiques de Pays-de-la-Loire vers PACA,Flux physiques de PACA vers PACA,Flux physiques de PACA vers Auvergne-Rhône-Alpes,Flux physiques de PACA vers Bourgogne-Franche-Comté,Flux physiques de PACA vers Bretagne,Flux physiques de PACA vers Centre-Val de Loire,Flux physiques de PACA vers Grand-Est,Flux physiques de PACA vers Hauts-de-France,Flux physiques de PACA vers Ile-de-France,Flux physiques de PACA vers Normandie,Flux physiques de PACA vers Nouvelle-Aquitaine,Flux physiques de PACA vers Occitanie,Flux physiques de PACA vers Pays-de-la-Loire,Flux physiques de PACA vers PACA.1,Flux physiques Allemagne vers PACA,Flux physiques Belgique vers PACA,Flux physiques Espagne vers PACA,Flux physiques Italie vers PACA,Flux physiques Luxembourg vers PACA,Flux physiques Royaume-Uni vers PACA,Flux physiques Suisse vers PACA,Flux physiques de PACA vers Allemagne,Flux physiques de PACA vers Belgique,Flux physiques de PACA vers Espagne,Flux physiques de PACA vers Italie,Flux physiques de PACA vers Luxembourg,Flux physiques de PACA vers Royaume-Uni,Flux physiques de PACA vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
PACA,Données définitives,2022-01-01,00:00,5342.0,172.0,0.0,1.0,0.0,843.0,0.0,87.0,0.0,0.0,0.0,0.0,4239.0,893,-,-,-,-,-,-,-,-,3899,-,-,246.0,-,-,-,-,-,-,-,-,159.0,-,-,-,-,-,0,-,-,-,-,-,-,148.0,-,-,-,3.22,6.32,0.0,-,0.02,1.03,0.0,0.0,15.78,25.76,1.63,29.69,
PACA,Données définitives,2022-01-01,00:15,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2022-01-01,00:30,5152.0,172.0,0.0,1.0,0.0,958.0,0.0,86.0,0.0,0.0,0.0,0.0,3935.0,ND,-,-,-,-,-,-,-,-,ND,-,-,228.0,-,-,-,-,-,-,-,-,165.0,-,-,-,-,-,ND,-,-,-,-,-,-,166.0,-,-,-,3.34,6.32,0.0,-,0.02,1.03,0.0,0.0,18.59,29.27,1.67,29.35,
PACA,Données définitives,2022-01-01,00:45,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2022-01-01,01:00,4972.0,173.0,0.0,0.0,0.0,970.0,0.0,88.0,0.0,0.0,0.0,0.0,3741.0,ND,-,-,-,-,-,-,-,-,ND,-,-,208.0,-,-,-,-,-,-,-,-,172.0,-,-,-,-,-,ND,-,-,-,-,-,-,165.0,-,-,-,3.48,6.36,0.0,-,0.0,0.0,0.0,0.0,19.51,29.64,1.77,30.03,
PACA,Données définitives,2022-01-01,01:15,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2022-01-01,01:30,5018.0,173.0,0.0,0.0,0.0,863.0,0.0,87.0,0.0,0.0,0.0,0.0,3895.0,ND,-,-,-,-,-,-,-,-,ND,-,-,206.0,-,-,-,-,-,-,-,-,184.0,-,-,-,-,-,ND,-,-,-,-,-,-,153.0,-,-,-,3.45,6.36,0.0,-,0.0,0.0,0.0,0.0,17.2,26.37,1.73,29.69,
PACA,Données définitives,2022-01-01,01:45,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2022-01-01,02:00,4968.0,171.0,0.0,0.0,0.0,872.0,0.0,89.0,0.0,0.0,0.0,0.0,3837.0,ND,-,-,-,-,-,-,-,-,ND,-,-,221.0,-,-,-,-,-,-,-,-,169.0,-,-,-,-,-,ND,-,-,-,-,-,-,132.0,-,-,-,3.44,6.28,0.0,-,0.0,0.0,0.0,0.0,17.55,26.64,1.79,30.38,
PACA,Données définitives,2022-01-01,02:15,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
