Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers Bourgogne-Franche-Comté,Flux physiques de Bourgogne-Franche-Comté vers Bourgogne-Franche-Comté,Flux physiques de Bretagne vers Bourgogne-Franche-Comté,Flux physiques de Centre-Val de Loire vers Bourgogne-Franche-Comté,Flux physiques de Grand-Est vers Bourgogne-Franche-Comté,Flux physiques de Hauts-de-France vers Bourgogne-Franche-Comté,Flux physiques d'Ile-de-France vers Bourgogne-Franche-Comté,Flux physiques de Normandie vers Bourgogne-Franche-Comté,Flux physiques de Nouvelle-Aquitaine vers Bourgogne-Franche-Comté,Flux physiques d'Occitanie vers Bourgogne-Franche-Comté,Flux physiques de Pays-de-la-Loire vers Bourgogne-Franche-Comté,Flux physiques de PACA vers Bourgogne-Franche-Comté,Flux physiques de Bourgogne-Franche-Comté vers Auvergne-Rhône-Alpes,Flux physiques de Bourgogne-Franche-Comté vers Bourgogne-Franche-Comté.1,Flux physiques de Bourgogne-Franche-Comté vers Bretagne,Flux physiques de Bourgogne-Franche-Comté vers Centre-Val de Loire,Flux physiques de Bourgogne-Franche-Comté vers Grand-Est,Flux physiques de Bourgogne-Franche-Comté vers Hauts-de-France,Flux physiques de Bourgogne-Franche-Comté vers Ile-de-France,Flux physiques de Bourgogne-Franche-Comté vers Normandie,Flux physiques de Bourgogne-Franche-Comté vers Nouvelle-Aquitaine,Flux physiques de Bourgogne-Franche-Comté vers Occitanie,Flux physiques de Bourgogne-Franche-Comté vers Pays-de-la-Loire,Flux physiques de Bourgogne-Franche-Comté vers PACA,Flux physiques Allemagne vers Bourgogne-Franche-Comté,Flux physiques Belgique vers Bourgogne-Franche-Comté,Flux physiques Espagne vers Bourgogne-Franche-Comté,Flux physiques Italie vers Bourgogne-Franche-Comté,Flux physiques Luxembourg vers Bourgogne-Franche-Comté,Flux physiques Royaume-Uni vers Bourgogne-Franche-Comté,Flux physiques Suisse vers Bourgogne-Franche-Comté,Flux physiques de Bourgogne-Franche-Comté vers Allemagne,Flux physiques de Bourgogne-Franche-Comté vers Belgique,Flux physiques de Bourgogne-Franche-Comté vers Espagne,Flux physiques de Bourgogne-Franche-Comté vers Italie,Flux physiques de Bourgogne-Franche-Comté vers Luxembourg,Flux physiques de Bourgogne-Franche-Comté vers Royaume-Uni,Flux physiques de Bourgogne-Franche-Comté vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
Bourgogne-Franche-Comté,Données définitives,2023-01-01,00:00,1846.0,159.0,0.0,851.0,0.0,192.0,0.0,52.0,0.0,0.0,0.0,0.0,593.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,1609.0,-,-,63.0,2.0,-,15.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,8.61,41.51,0.0,ND,46.1,82.86,0.0,0.0,10.4,36.71,2.82,65.0,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,00:15,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,00:30,1777.0,159.0,0.0,822.0,0.0,184.0,0.0,52.0,0.0,0.0,0.0,0.0,561.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,1739.0,-,-,61.0,2.0,-,11.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,8.95,41.51,0.0,ND,46.26,80.04,0.0,0.0,10.35,35.18,2.93,65.0,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,00:45,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,01:00,1830.0,158.0,0.0,727.0,0.0,191.0,0.0,51.0,0.0,0.0,0.0,0.0,702.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,1487.0,-,-,49.0,2.0,-,79.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,8.63,41.25,0.0,ND,39.73,70.79,0.0,0.0,10.44,36.52,2.79,63.75,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,01:15,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,01:30,1776.0,158.0,0.0,653.0,0.0,196.0,0.0,51.0,0.0,0.0,0.0,0.0,719.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,1447.0,-,-,49.0,2.0,-,79.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,8.9,41.25,0.0,ND,36.77,63.58,0.0,0.0,11.04,37.48,2.87,63.75,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,01:45,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,02:00,1876.0,158.0,0.0,648.0,0.0,248.0,0.0,51.0,0.0,0.0,0.0,0.0,772.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,1523.0,-,-,51.0,1.0,-,60.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,8.42,41.25,0.0,ND,34.54,63.1,0.0,0.0,13.22,47.42,2.72,63.75,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,02:15,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,02:30,1861.0,158.0,0.0,644.0,0.0,239.0,0.0,52.0,0.0,0.0,0.0,0.0,769.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,1558.0,-,-,50.0,1.0,-,43.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,8.49,41.25,0.0,ND,34.61,62.71,0.0,0.0,12.84,45.7,2.79,65.0,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,02:45,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,03:00,1792.0,159.0,0.0,650.0,0.0,179.0,0.0,51.0,0.0,0.0,0.0,0.0,754.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,1689.0,-,-,48.0,2.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,8.87,41.51,0.0,ND,36.27,63.29,0.0,0.0,9.99,34.23,2.85,63.75,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,03:15,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,03:30,1734.0,159.0,0.0,646.0,0.0,180.0,0.0,51.0,0.0,0.0,0.0,0.0,698.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,1746.0,-,-,48.0,2.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,9.17,41.51,0.0,ND,37.25,62.9,0.0,0.0,10.38,34.42,2.94,63.75,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,03:45,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,04:00,1677.0,159.0,0.0,647.0,0.0,180.0,0.0,51.0,0.0,0.0,0.0,0.0,641.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,2116.0,-,-,46.0,5.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,9.48,41.51,0.0,ND,38.58,63.0,0.0,0.0,10.73,34.42,3.04,63.75,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,04:15,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,04:30,1635.0,159.0,0.0,646.0,0.0,179.0,0.0,50.0,0.0,0.0,0.0,0.0,602.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,2183.0,-,-,44.0,8.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,9.72,41.51,0.0,ND,39.51,62.9,0.0,0.0,10.95,34.23,3.06,62.5,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,04:45,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,05:00,1621.0,158.0,0.0,639.0,0.0,179.0,0.0,51.0,0.0,0.0,0.0,0.0,594.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,2118.0,-,-,44.0,6.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,9.75,41.25,0.0,ND,39.42,62.22,0.0,0.0,11.04,34.23,3.15,63.75,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,05:15,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,05:30,1585.0,159.0,0.0,617.0,0.0,180.0,0.0,51.0,0.0,0.0,0.0,0.0,580.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,2097.0,-,-,44.0,8.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,10.03,41.51,0.0,ND,38.93,60.08,0.0,0.0,11.36,34.42,3.22,63.75,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,05:45,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,06:00,1615.0,159.0,0.0,607.0,0.0,178.0,0.0,50.0,0.0,0.0,0.0,0.0,622.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,2097.0,-,-,44.0,12.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,9.85,41.51,0.0,ND,37.59,59.1,0.0,0.0,11.02,34.03,3.1,62.5,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,06:15,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,06:30,1581.0,159.0,0.0,602.0,0.0,185.0,0.0,49.0,0.0,0.0,0.0,0.0,587.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,2132.0,-,-,44.0,15.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,10.06,41.51,0.0,ND,38.08,58.62,0.0,0.0,11.7,35.37,3.1,61.25,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,06:45,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,07:00,1670.0,159.0,0.0,575.0,0.0,229.0,0.0,51.0,0.0,0.0,0.0,0.0,658.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,2209.0,-,-,43.0,18.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,9.52,41.51,0.0,ND,34.43,55.99,0.0,0.0,13.71,43.79,3.05,63.75,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,07:15,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,07:30,1661.0,159.0,0.0,567.0,0.0,179.0,0.0,50.0,0.0,0.0,0.0,0.0,706.0,ND,-,-,ND,ND,-,ND,-,-,-,-,-,2121.0,-,-,43.0,17.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,0.0,9.57,41.51,0.0,ND,34.14,55.21,0.0,0.0,10.78,34.23,3.01,62.5,
Bourgogne-Franche-Comté,Données définitives,2023-01-01,07:45,,,,,,,,,,,,,,,-,-,,,-,,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,,,,,,,,
