Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers Grand-Est,Flux physiques de Bourgogne-Franche-Comté vers Grand-Est,Flux physiques de Bretagne vers Grand-Est,Flux physiques de Centre-Val de Loire vers Grand-Est,Flux physiques de Grand-Est vers Grand-Est,Flux physiques de Hauts-de-France vers Grand-Est,Flux physiques d'Ile-de-France vers Grand-Est,Flux physiques de Normandie vers Grand-Est,Flux physiques de Nouvelle-Aquitaine vers Grand-Est,Flux physiques d'Occitanie vers Grand-Est,Flux physiques de Pays-de-la-Loire vers Grand-Est,Flux physiques de PACA vers Grand-Est,Flux physiques de Grand-Est vers Auvergne-Rhône-Alpes,Flux physiques de Grand-Est vers Bourgogne-Franche-Comté,Flux physiques de Grand-Est vers Bretagne,Flux physiques de Grand-Est vers Centre-Val de Loire,Flux physiques de Grand-Est vers Grand-Est.1,Flux physiques de Grand-Est vers Hauts-de-France,Flux physiques de Grand-Est vers Ile-de-France,Flux physiques de Grand-Est vers Normandie,Flux physiques de Grand-Est vers Nouvelle-Aquitaine,Flux physiques de Grand-Est vers Occitanie,Flux physiques de Grand-Est vers Pays-de-la-Loire,Flux physiques de Grand-Est vers PACA,Flux physiques Allemagne vers Grand-Est,Flux physiques Belgique vers Grand-Est,Flux physiques Espagne vers Grand-Est,Flux physiques Italie vers Grand-Est,Flux physiques Luxembourg vers Grand-Est,Flux physiques Royaume-Uni vers Grand-Est,Flux physiques Suisse vers Grand-Est,Flux physiques de Grand-Est vers Allemagne,Flux physiques de Grand-Est vers Belgique,Flux physiques de Grand-Est vers Espagne,Flux physiques de Grand-Est vers Italie,Flux physiques de Grand-Est vers Luxembourg,Flux physiques de Grand-Est vers Royaume-Uni,Flux physiques de Grand-Est vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
Grand-Est,Données définitives,2023-01-01,00:00,2678.0,177.0,3860.0,3600.0,0.0,1229.0,-6.0,139.0,0.0,0.0,0.0,0.0,-6318.0,-,ND,-,-,-,ND,ND,-,-,-,-,-,-,1743.0,-,-,-,902.0,3766.0,-,-,-,-,-,ND,ND,-,-,ND,-,ND,382.0,47.0,-,-,ND,-,700.0,6.61,5.65,144.14,35.67,134.43,79.1,0.0,0.0,45.89,53.39,5.19,53.46,
Grand-Est,Données définitives,2023-01-01,00:15,,,,,,,,,,,,,,-,,-,-,-,,,-,-,-,-,-,-,,-,-,-,,,-,-,-,-,-,,,-,-,,-,,,,-,-,,-,,,,,,,,,,,,,,
Grand-Est,Données définitives,2023-01-01,00:30,3903.0,169.0,3940.0,3546.0,0.0,1278.0,-6.0,138.0,0.0,0.0,0.0,0.0,-5162.0,-,ND,-,-,-,ND,ND,-,-,-,-,-,-,1835.0,-,-,-,1010.0,3849.0,-,-,-,-,-,ND,ND,-,-,ND,-,ND,63.0,20.0,-,-,ND,-,567.0,4.33,5.39,100.95,36.41,90.85,77.92,0.0,0.0,32.74,55.52,3.54,53.08,
Grand-Est,Données définitives,2023-01-01,00:45,,,,,,,,,,,,,,-,,-,-,-,,,-,-,-,-,-,-,,-,-,-,,,-,-,-,-,-,,,-,-,,-,,,,-,-,,-,,,,,,,,,,,,,,
Grand-Est,Données définitives,2023-01-01,01:00,3510.0,169.0,4099.0,2871.0,0.0,1368.0,-6.0,140.0,0.0,0.0,0.0,0.0,-5132.0,-,ND,-,-,-,ND,ND,-,-,-,-,-,-,1799.0,-,-,-,1304.0,4106.0,-,-,-,-,-,ND,ND,-,-,ND,-,ND,8.0,1.0,-,-,ND,-,525.0,4.81,5.39,116.78,37.88,81.79,63.09,0.0,0.0,38.97,59.43,3.99,53.85,
Grand-Est,Données définitives,2023-01-01,01:15,,,,,,,,,,,,,,-,,-,-,-,,,-,-,-,-,-,-,,-,-,-,,,-,-,-,-,-,,,-,-,,-,,,,-,-,,-,,,,,,,,,,,,,,
Grand-Est,Données définitives,2023-01-01,01:30,3954.0,174.0,4003.0,2619.0,0.0,1324.0,-6.0,141.0,0.0,0.0,0.0,0.0,-4296.0,-,ND,-,-,-,ND,ND,-,-,-,-,-,-,1798.0,-,-,-,1302.0,4035.0,-,-,-,-,-,ND,ND,-,-,ND,-,ND,0.0,0.0,-,-,ND,-,448.0,4.4,5.55,101.24,37.0,66.24,57.55,0.0,0.0,33.49,57.52,3.57,54.23,
Grand-Est,Données définitives,2023-01-01,01:45,,,,,,,,,,,,,,-,,-,-,-,,,-,-,-,-,-,-,,-,-,-,,,-,-,-,-,-,,,-,-,,-,,,,-,-,,-,,,,,,,,,,,,,,
Grand-Est,Données définitives,2023-01-01,02:00,4223.0,177.0,4054.0,2637.0,0.0,1178.0,-6.0,143.0,0.0,0.0,0.0,0.0,-3958.0,-,ND,-,-,-,ND,ND,-,-,-,-,-,-,1884.0,-,-,-,1135.0,4026.0,-,-,-,-,-,ND,ND,-,-,ND,-,ND,0.0,0.0,-,-,ND,-,438.0,4.19,5.65,96.0,37.47,62.44,57.94,0.0,0.0,27.89,51.17,3.39,55.0,
Grand-Est,Données définitives,2023-01-01,02:15,,,,,,,,,,,,,,-,,-,-,-,,,-,-,-,-,-,-,,-,-,-,,,-,-,-,-,-,,,-,-,,-,,,,-,-,,-,,,,,,,,,,,,,,
