Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers PACA,Flux physiques de Bourgogne-Franche-Comté vers PACA,Flux physiques de Bretagne vers PACA,Flux physiques de Centre-Val de Loire vers PACA,Flux physiques de Grand-Est vers PACA,Flux physiques de Hauts-de-France vers PACA,Flux physiques d'Ile-de-France vers PACA,Flux physiques de Normandie vers PACA,Flux physiques de Nouvelle-Aquitaine vers PACA,Flux physiques d'Occitanie vers PACA,Flux physiques de Pays-de-la-Loire vers PACA,Flux physiques de PACA vers PACA,Flux physiques de PACA vers Auvergne-Rhône-Alpes,Flux physiques de PACA vers Bourgogne-Franche-Comté,Flux physiques de PACA vers Bretagne,Flux physiques de PACA vers Centre-Val de Loire,Flux physiques de PACA vers Grand-Est,Flux physiques de PACA vers Hauts-de-France,Flux physiques de PACA vers Ile-de-France,Flux physiques de PACA vers Normandie,Flux physiques de PACA vers Nouvelle-Aquitaine,Flux physiques de PACA vers Occitanie,Flux physiques de PACA vers Pays-de-la-Loire,Flux physiques de PACA vers PACA.1,Flux physiques Allemagne vers PACA,Flux physiques Belgique vers PACA,Flux physiques Espagne vers PACA,Flux physiques Italie vers PACA,Flux physiques Luxembourg vers PACA,Flux physiques Royaume-Uni vers PACA,Flux physiques Suisse vers PACA,Flux physiques de PACA vers Allemagne,Flux physiques de PACA vers Belgique,Flux physiques de PACA vers Espagne,Flux physiques de PACA vers Italie,Flux physiques de PACA vers Luxembourg,Flux physiques de PACA vers Royaume-Uni,Flux physiques de PACA vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
PACA,Données définitives,2021-01-01,00:00,6418.0,1264.0,0.0,15.0,0.0,621.0,0.0,112.0,-,-,-,-,4407.0,ND,-,-,-,-,-,-,-,-,ND,-,-,ND,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,ND,-,-,-,-,-,-,ND,-,-,-,19.69,38.15,0.0,-,0.23,15.46,0.0,0.0,9.68,18.97,1.75,37.09,
PACA,Données définitives,2021-01-01,00:15,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2021-01-01,00:30,6320.0,1155.0,0.0,14.0,0.0,639.0,0.0,102.0,0,0,0,0,4410.0,739,-,-,-,-,-,-,-,-,4103,-,-,148,-,-,-,-,-,-,-,-,222,-,-,-,-,-,0,-,-,-,-,-,-,62,-,-,-,18.28,34.86,0.0,-,0.22,14.43,0.0,0.0,10.11,19.52,1.61,33.77,
PACA,Données définitives,2021-01-01,00:45,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2021-01-01,01:00,6134.0,625.0,0.0,8.0,0.0,618.0,0.0,101.0,0,0,0,0,4782.0,921,-,-,-,-,-,-,-,-,4458,-,-,302,-,-,-,-,-,-,-,-,239,-,-,-,-,-,0,-,-,-,-,-,-,55,-,-,-,10.19,18.87,0.0,-,0.13,8.25,0.0,0.0,10.07,18.88,1.65,33.44,
PACA,Données définitives,2021-01-01,01:15,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2021-01-01,01:30,6129.0,579.0,0.0,12.0,0.0,540.0,0.0,103.0,0,0,0,0,4895.0,988,-,-,-,-,-,-,-,-,4624,-,-,398,-,-,-,-,-,-,-,-,245,-,-,-,-,-,0,-,-,-,-,-,-,74,-,-,-,9.45,17.48,0.0,-,0.2,12.37,0.0,0.0,8.81,16.5,1.68,34.11,
PACA,Données définitives,2021-01-01,01:45,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2021-01-01,02:00,5997.0,603.0,0.0,13.0,0.0,537.0,0.0,104.0,0,0,0,0,4741.0,943,-,-,-,-,-,-,-,-,4455,-,-,413,-,-,-,-,-,-,-,-,206,-,-,-,-,-,0,-,-,-,-,-,-,38,-,-,-,10.06,18.2,0.0,-,0.22,13.4,0.0,0.0,8.95,16.41,1.73,34.44,
PACA,Données définitives,2021-01-01,02:15,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2021-01-01,02:30,6118.0,628.0,0.0,15.0,0.0,533.0,0.0,103.0,0,0,0,0,4838.0,939,-,-,-,-,-,-,-,-,4552,-,-,429,-,-,-,-,-,-,-,-,196,-,-,-,-,-,0,-,-,-,-,-,-,28,-,-,-,10.26,18.96,0.0,-,0.25,15.46,0.0,0.0,8.71,16.28,1.68,34.11,
PACA,Données définitives,2021-01-01,02:45,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2021-01-01,03:00,5848.0,597.0,0.0,24.0,0.0,541.0,0.0,103.0,0,0,0,0,4583.0,818,-,-,-,-,-,-,-,-,4383,-,-,417,-,-,-,-,-,-,-,-,185,-,-,-,-,-,0,-,-,-,-,-,-,15,-,-,-,10.21,18.02,0.0,-,0.41,24.74,0.0,0.0,9.25,16.53,1.76,34.11,
PACA,Données définitives,2021-01-01,03:15,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
