Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers Hauts-de-France,Flux physiques de Bourgogne-Franche-Comté vers Hauts-de-France,Flux physiques de Bretagne vers Hauts-de-France,Flux physiques de Centre-Val de Loire vers Hauts-de-France,Flux physiques de Grand-Est vers Hauts-de-France,Flux physiques de Hauts-de-France vers Hauts-de-France,Flux physiques d'Ile-de-France vers Hauts-de-France,Flux physiques de Normandie vers Hauts-de-France,Flux physiques de Nouvelle-Aquitaine vers Hauts-de-France,Flux physiques d'Occitanie vers Hauts-de-France,Flux physiques de Pays-de-la-Loire vers Hauts-de-France,Flux physiques de PACA vers Hauts-de-France,Flux physiques de Hauts-de-France vers Auvergne-Rhône-Alpes,Flux physiques de Hauts-de-France vers Bourgogne-Franche-Comté,Flux physiques de Hauts-de-France vers Bretagne,Flux physiques de Hauts-de-France vers Centre-Val de Loire,Flux physiques de Hauts-de-France vers Grand-Est,Flux physiques de Hauts-de-France vers Hauts-de-France.1,Flux physiques de Hauts-de-France vers Ile-de-France,Flux physiques de Hauts-de-France vers Normandie,Flux physiques de Hauts-de-France vers Nouvelle-Aquitaine,Flux physiques de Hauts-de-France vers Occitanie,Flux physiques de Hauts-de-France vers Pays-de-la-Loire,Flux physiques de Hauts-de-France vers PACA,Flux physiques Allemagne vers Hauts-de-France,Flux physiques Belgique vers Hauts-de-France,Flux physiques Espagne vers Hauts-de-France,Flux physiques Italie vers Hauts-de-France,Flux physiques Luxembourg vers Hauts-de-France,Flux physiques Royaume-Uni vers Hauts-de-France,Flux physiques Suisse vers Hauts-de-France,Flux physiques de Hauts-de-France vers Allemagne,Flux physiques de Hauts-de-France vers Belgique,Flux physiques de Hauts-de-France vers Espagne,Flux physiques de Hauts-de-France vers Italie,Flux physiques de Hauts-de-France vers Luxembourg,Flux physiques de Hauts-de-France vers Royaume-Uni,Flux physiques de Hauts-de-France vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
Hauts-de-France,Données définitives,2021-01-01,00:00,6355.0,1149.0,4606.0,400.0,0.0,2.0,0.0,123.0,-,-,-,-,76.0,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,ND,-,-,-,-,-,-,ND,-,-,-,-,-,18.08,46.59,72.48,84.36,6.29,8.18,0.0,0.0,0.03,50.0,1.94,65.78,
Hauts-de-France,Données définitives,2021-01-01,00:15,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2021-01-01,00:30,6327.0,1355.0,4608.0,366.0,0.0,2.0,0.0,127.0,0,0,0,0,-130.0,-,-,-,-,2188,-,27,2636,-,-,-,-,-,-,-,-,31,-,2873,198,-,-,-,-,-,273,-,-,-,0,-,-,129,-,-,-,2022,-,21.42,54.95,72.83,84.4,5.78,7.49,0.0,0.0,0.03,50.0,2.01,67.91,
Hauts-de-France,Données définitives,2021-01-01,00:45,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2021-01-01,01:00,6157.0,969.0,4605.0,372.0,0.0,2.0,0.0,128.0,0,0,0,0,81.0,-,-,-,-,2179,-,26,2759,-,-,-,-,-,-,-,-,31,-,2841,195,-,-,-,-,-,308,-,-,-,0,-,-,103,-,-,-,2022,-,15.74,39.29,74.79,84.34,6.04,7.61,0.0,0.0,0.03,50.0,2.08,68.45,
Hauts-de-France,Données définitives,2021-01-01,01:15,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2021-01-01,01:30,6166.0,1089.0,4604.0,360.0,0.0,2.0,0.0,128.0,0,0,0,0,-18.0,-,-,-,-,2129,-,25,2257,-,-,-,-,-,-,-,-,31,-,2494,195,-,-,-,-,-,375,-,-,-,0,-,-,61,-,-,-,2022,-,17.66,44.16,74.67,84.32,5.84,7.36,0.0,0.0,0.03,50.0,2.08,68.45,
Hauts-de-France,Données définitives,2021-01-01,01:45,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
Hauts-de-France,Données définitives,2021-01-01,02:00,6048.0,1090.0,4605.0,344.0,0.0,2.0,0.0,130.0,0,0,0,0,-123.0,-,-,-,-,2071,-,24,1763,-,-,-,-,-,-,-,-,31,-,2252,190,-,-,-,-,-,532,-,-,-,0,-,-,16,-,-,-,2023,-,18.02,44.2,76.14,84.34,5.69,7.04,0.0,0.0,0.03,50.0,2.15,69.52,
Hauts-de-France,Données définitives,2021-01-01,02:15,,,,,,,,,,,,,,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,,-,-,-,,-,-,,-,-,-,,-,,,,,,,,,,,,,
